series_id,date,value
CN_10Y_YIELD,2025-02-20,1.685
CN_10Y_YIELD,2025-02-21,1.72
CN_10Y_YIELD,2025-02-24,1.7625
CN_10Y_YIELD,2025-02-25,1.7275
CN_10Y_YIELD,2025-02-26,1.7251
CN_10Y_YIELD,2025-02-27,1.7576
CN_10Y_YIELD,2025-02-28,1.7152
CN_10Y_YIELD,2025-03-03,1.6955
CN_10Y_YIELD,2025-03-04,1.7079
CN_10Y_YIELD,2025-03-05,1.7083
CN_10Y_YIELD,2025-03-06,1.7455
CN_10Y_YIELD,2025-03-07,1.8002
CN_10Y_YIELD,2025-03-10,1.8128
CN_10Y_YIELD,2025-03-11,1.8853
CN_10Y_YIELD,2025-03-12,1.8334
CN_10Y_YIELD,2025-03-13,1.8565
CN_10Y_YIELD,2025-03-14,1.8317
CN_10Y_YIELD,2025-03-17,1.8957
CN_10Y_YIELD,2025-03-18,1.8885
CN_10Y_YIELD,2025-03-19,1.8708
CN_10Y_YIELD,2025-03-20,1.8309
CN_10Y_YIELD,2025-03-21,1.8458
CN_10Y_YIELD,2025-03-24,1.8413
CN_10Y_YIELD,2025-03-25,1.8183
CN_10Y_YIELD,2025-03-26,1.7943
CN_10Y_YIELD,2025-03-27,1.8062
CN_10Y_YIELD,2025-03-28,1.8126
CN_10Y_YIELD,2025-03-31,1.8129
CN_10Y_YIELD,2025-04-01,1.8104
CN_10Y_YIELD,2025-04-02,1.7887
CN_10Y_YIELD,2025-04-03,1.718
CN_10Y_YIELD,2025-04-07,1.6318
CN_10Y_YIELD,2025-04-08,1.6633
CN_10Y_YIELD,2025-04-09,1.6508
CN_10Y_YIELD,2025-04-10,1.6444
CN_10Y_YIELD,2025-04-11,1.6568
CN_10Y_YIELD,2025-04-14,1.6584
CN_10Y_YIELD,2025-04-15,1.6583
CN_10Y_YIELD,2025-04-16,1.643
CN_10Y_YIELD,2025-04-17,1.6522
CN_10Y_YIELD,2025-04-18,1.6493
CN_10Y_YIELD,2025-04-21,1.6664
CN_10Y_YIELD,2025-04-22,1.6509
CN_10Y_YIELD,2025-04-23,1.6611
CN_10Y_YIELD,2025-04-24,1.664
CN_10Y_YIELD,2025-04-25,1.6606
CN_10Y_YIELD,2025-04-27,1.6607
CN_10Y_YIELD,2025-04-28,1.6483
CN_10Y_YIELD,2025-04-29,1.6241
CN_10Y_YIELD,2025-04-30,1.6243
CN_10Y_YIELD,2025-05-06,1.6298
CN_10Y_YIELD,2025-05-07,1.6418
CN_10Y_YIELD,2025-05-08,1.6331
CN_10Y_YIELD,2025-05-09,1.6351
CN_10Y_YIELD,2025-05-12,1.688
CN_10Y_YIELD,2025-05-13,1.6704
CN_10Y_YIELD,2025-05-14,1.6736
CN_10Y_YIELD,2025-05-15,1.6798
CN_10Y_YIELD,2025-05-16,1.6793
CN_10Y_YIELD,2025-05-19,1.6893
CN_10Y_YIELD,2025-05-20,1.7004
CN_10Y_YIELD,2025-05-21,1.71
CN_10Y_YIELD,2025-05-22,1.7186
CN_10Y_YIELD,2025-05-23,1.7208
CN_10Y_YIELD,2025-05-26,1.7201
CN_10Y_YIELD,2025-05-27,1.7261
CN_10Y_YIELD,2025-05-28,1.6832
CN_10Y_YIELD,2025-05-29,1.6877
CN_10Y_YIELD,2025-05-30,1.6712
CN_10Y_YIELD,2025-06-03,1.6764
CN_10Y_YIELD,2025-06-04,1.6704
CN_10Y_YIELD,2025-06-05,1.6741
CN_10Y_YIELD,2025-06-06,1.6547
CN_10Y_YIELD,2025-06-09,1.6559
CN_10Y_YIELD,2025-06-10,1.6569
CN_10Y_YIELD,2025-06-11,1.642
CN_10Y_YIELD,2025-06-12,1.6475
CN_10Y_YIELD,2025-06-13,1.644
CN_10Y_YIELD,2025-06-16,1.6432
CN_10Y_YIELD,2025-06-17,1.6364
CN_10Y_YIELD,2025-06-18,1.6384
CN_10Y_YIELD,2025-06-19,1.6425
CN_10Y_YIELD,2025-06-20,1.6396
CN_10Y_YIELD,2025-06-23,1.6418
CN_10Y_YIELD,2025-06-24,1.648
CN_10Y_YIELD,2025-06-25,1.6544
CN_10Y_YIELD,2025-06-26,1.6462
CN_10Y_YIELD,2025-06-27,1.6462
CN_10Y_YIELD,2025-06-30,1.6469
CN_10Y_YIELD,2025-07-01,1.6433
CN_10Y_YIELD,2025-07-02,1.6396
CN_10Y_YIELD,2025-07-03,1.6407
CN_10Y_YIELD,2025-07-04,1.6433
CN_10Y_YIELD,2025-07-07,1.6406
CN_10Y_YIELD,2025-07-08,1.6444
CN_10Y_YIELD,2025-07-09,1.6446
CN_10Y_YIELD,2025-07-10,1.6616
CN_10Y_YIELD,2025-07-11,1.6653
CN_10Y_YIELD,2025-07-14,1.6726
CN_10Y_YIELD,2025-07-15,1.6557
CN_10Y_YIELD,2025-07-16,1.6617
CN_10Y_YIELD,2025-07-17,1.663
CN_10Y_YIELD,2025-07-18,1.6652
CN_10Y_YIELD,2025-07-21,1.6774
CN_10Y_YIELD,2025-07-22,1.6907
CN_10Y_YIELD,2025-07-23,1.7041
CN_10Y_YIELD,2025-07-24,1.7376
CN_10Y_YIELD,2025-07-25,1.7324
CN_10Y_YIELD,2025-07-28,1.7146
CN_10Y_YIELD,2025-07-29,1.7466
CN_10Y_YIELD,2025-07-30,1.718
CN_10Y_YIELD,2025-07-31,1.7044
CN_10Y_YIELD,2025-08-01,1.7059
CN_10Y_YIELD,2025-08-04,1.7083
CN_10Y_YIELD,2025-08-05,1.7061
CN_10Y_YIELD,2025-08-06,1.6999
CN_10Y_YIELD,2025-08-07,1.6894
CN_10Y_YIELD,2025-08-08,1.6891
CN_10Y_YIELD,2025-08-11,1.7203
CN_10Y_YIELD,2025-08-12,1.7271
CN_10Y_YIELD,2025-08-13,1.7262
CN_10Y_YIELD,2025-08-14,1.7341
CN_10Y_YIELD,2025-08-15,1.7465
CN_10Y_YIELD,2025-08-18,1.7872
CN_10Y_YIELD,2025-08-19,1.7725
